NO,ID,MESSAGE,COMMENT,END
141,8031,<%1%>要素に[%2%]属性がありませんでした。\nコントロール設定ファイルの中に書く<%1%>要素では必要です。\n%3%,%1%…ノード名が入る。%2%…期待する属性名が入る。%3%…設定位置パンくずリストが入る。,END
142,8032,<%1%>要素に[%2%]属性がありませんでした。\nコントロール設定ファイルの中に書く<%1%>要素では必要です。\n%3%,%1%…ノード名が入る。%2%…期待する属性名が入る。%3%…設定位置パンくずリストが入る。,END
143,8033,＜%1%＞という子要素が指定されていますが、対応できません。\n\n＜%2%＞要素が対応できる子要素は次のとおり。\n%3%\n%4%,%1%…子要素名が入る。%2%…自要素名が入る。%3%…要素リストが入る。%4%…設定位置パンくずリストが入る。,END
144,8034,＜%1%＞という要素を読み取った時、予想できないエラーが発生しました。\n\n%2%%3%,%1%…要素名が入る。%2%…設定位置パンくずリストが入る。%3%…例外メッセージが入る。,END
145,110001,未対応の引数名です。[%1%]\n┌────────┐対応している引数名の一覧。\n%2%└────────┘,%1%…引数名が入る。%2%…引数名リストが入る。,END
146,110002,指定の[%1%]という関数はありませんでした。\n\nもしかして？\n　・プログラマー向け情報：[%2%]関数に登録されていますか？\n　・または、そのイベントに追加できないアクションを記述しているのかもしれません。,%1%…関数名が入る。%2%…記述先の関数名が入る。,END
147,110003,ツール設定ファイルから、デフォルトプロジェクトを選べませんでした。\nエディター名＝[%1%],%1%…エディター名が入る。,END
148,110004,『%1%』ファイルの『%2%』が未設定です。,%1%…選択したエディター・フォルダーのファイルパスが入る。%2%…表示名が入る。,END
149,110005,『%1%』エディター設定ファイルに、『%2%』設定が　ありませんでした。,%1%…選択したエディター・フォルダーのファイルパスが入る。%2%…引数名が入る。,END
150,110006,『%1%』が未設定です。\n%2%,%1%…引数名が入る。%2%…設定位置パンくずリストが入る。,END
151,110007,＜ｄａｔａ　ｍｅｍｏｒｙ＝”[%1%]”＞属性でした。,%1%…属性memoryの値が入る。,END
152,110008,引数 [%1%] を指定してください。\n\n%2%,%1%…引数名が入る。%2%…設定位置パンくずリストが入る。,END
153,110009,フォルダーパスの取得に失敗しました。\n%1%,%1%…設定位置パンくずリストが入る。,END
154,110010,未実装、リストボックス[%1%]で選択している行がなかった。\nリストボックスの、選択している項目インデックス番号は、[%2%]です。,%1%…コントロール名が入る。%2%…リストボックスの選択しているindex,END
155,110011,未定義のデータ・タイプです。\n[%1%]=[%2%]。\n\n次の値から選ばなければいけません。\n%3%\n\n%4%,%1%…フィールド名TYPE_DATAが入る。%2%…TYPE_DATAフィールドの値が入る。%3%…TYPE_DATAフィールドに設定できる値のリストが入る。%4%…設定位置パンくずリストが入る。,END
